1222.8201936 [1715151024.7739, 120.0, 0.0, -157.173, 9.326, 14.086, -2.025, 6.494, 1.38, -243.109, -128.046, -52.382, 0.0, 0.0]
1222.8280061 [1715151024.7818, 121.0, 0.0, -178.021, -2.979, -3.347, 3.1, 15.197, -0.158, -275.141, -142.263, -80.507, 0.0, 0.0]
1222.8358186 [1715151024.7896, 122.0, 0.0, -191.163, -11.685, -11.028, -1.514, 5.448, -3.232, -289.21, -146.731, -85.037, 0.0, 0.0]
1222.8436311 [1715151024.7975, 123.0, 0.0, -182.262, -6.038, -5.382, -7.147, -8.902, -4.766, -287.384, -143.511, -79.317, 0.0, 0.0]
1222.8514436 [1715151024.8053, 124.0, 0.0, -174.908, 10.362, 5.382, 4.13, -6.844, -3.224, -307.077, -146.441, -84.873, 0.0, 0.0]
1222.8592561 [1715151024.8132, 125.0, 0.0, -176.27, 11.376, 9.475, 5.663, -4.788, -3.733, -291.401, -146.807, -75.567, 0.0, 0.0]
1222.8670686 [1715151024.8211, 126.0, 0.0, -173.02, 1.118, 0.757, 4.121, 1.365, -3.217, -258.321, -135.902, -52.949, 0.0, 0.0]
1222.8748811 [1715151024.829, 127.0, 0.0, -168.236, -0.932, -3.855, 18.461, 19.294, 2.934, -247.305, -128.081, -52.896, 0.0, 0.0]
1222.8826936 [1715151024.8368, 0.0, 0.0, -180.363, -1.443, -0.265, 12.807, 12.102, -1.167, -279.333, -140.248, -80.508, 0.0, 0.0]
1222.8905061 [1715151024.8447, 1.0, 0.0, -204.261, -3.491, -2.314, -10.772, -14.037, -14.486, -311.329, -167.26, -112.703, 0.0, 0.0]
1222.8983186 [1715151024.8525, 2.0, 0.0, -200.983, 4.197, -0.262, -4.613, -11.462, -14.472, -298.21, -168.63, -105.93, 0.0, 0.0]
1222.9061311 [1715151024.8604, 3.0, 0.0, -167.994, 12.902, 8.959, 13.322, 4.944, 0.4, -265.124, -135.674, -73.037, 0.0, 0.0]
1222.9139436 [1715151024.8682, 4.0, 0.0, -151.945, 5.717, 2.803, 10.747, 0.84, 9.109, -232.071, -114.021, -44.274, 0.0, 0.0]
1222.9217561 [1715151024.8762, 5.0, 0.0, -180.482, -9.146, -10.008, -3.608, -9.919, 5.513, -264.114, -136.449, -76.506, 0.0, 0.0]
1222.9295686 [1715151024.884, 6.0, 0.0, -201.306, -18.358, -13.072, -24.609, -17.082, -1.665, -296.126, -155.268, -108.192, 0.0, 0.0]
1222.9373811 [1715151024.8917, 7.0, 0.0, -194.445, -14.241, -14.083, -27.146, -12.454, -4.224, -289.17, -151.014, -103.986, 0.0, 0.0]
1222.9451936 [1715151024.8995, 8.0, 0.0, -177.857, 7.802, -3.823, 5.669, 8.563, -3.196, -256.093, -145.227, -89.025, 0.0, 0.0]
1222.9530061 [1715151024.9072, 9.0, 0.0, -152.576, 21.627, 14.624, 18.471, 12.653, -1.655, -223.049, -132.275, -62.296, 0.0, 0.0]
1222.9608186 [1715151024.915, 10.0, 0.0, -142.177, 4.699, 10.511, -9.212, 1.37, -0.629, -212.58, -122.921, -51.987, 0.0, 0.0]
1222.9686311 [1715151024.9227, 11.0, 0.0, -172.261, -17.335, -9.992, -14.838, 7.004, -2.166, -244.642, -142.266, -84.211, 0.0, 0.0]
1222.9764436 [1715151024.9307, 12.0, 0.0, -198.729, -16.293, -13.568, 2.083, 7.509, -3.188, -276.673, -160.054, -109.742, 0.0, 0.0]
1222.9842561 [1715151024.9385, 13.0, 0.0, -185.21, 1.142, -2.796, -2.53, -11.966, -3.697, -266.663, -150.672, -92.726, 0.0, 0.0]
1222.9920686 [1715151024.9463, 14.0, 0.0, -168.631, 14.46, 7.965, -4.577, -12.979, -4.718, -240.781, -143.349, -82.387, 0.0, 0.0]
1222.9998811 [1715151024.954, 15.0, 0.0, -175.122, 15.471, 13.08, 11.309, 10.088, -4.713, -226.195, -145.255, -85.378, 0.0, 0.0]
1223.0076936 [1715151024.9619, 16.0, 0.0, -178.021, 3.672, 4.358, 13.347, 21.861, -2.659, -201.891, -138.45, -72.998, 0.0, 0.0]
1223.0155061 [1715151024.9697, 17.0, 0.0, -175.281, -7.09, -6.917, -1.011, 18.253, 1.954, -202.713, -136.775, -72.925, 0.0, 0.0]
1223.0233186 [1715151024.9776, 18.0, 0.0, -187.914, -8.108, -5.373, -9.719, 6.964, 1.952, -234.786, -153.032, -105.127, 0.0, 0.0]
1223.0311311 [1715151024.9855, 19.0, 0.0, -202.583, -1.44, -0.757, -14.832, -7.9, -7.784, -266.827, -169.273, -131.662, 0.0, 0.0]
1223.0389436 [1715151024.9934, 20.0, 0.0, -191.11, 3.173, -0.756, -13.793, -13.015, -9.313, -236.334, -161.419, -112.575, 0.0, 0.0]
1223.0467561 [1715151025.0012, 21.0, 0.0, -160.18, 2.145, 4.367, 2.102, -3.78, 2.48, -203.31, -130.007, -79.675, 0.0, 0.0]
1223.0545686 [1715151025.0091, 22.0, 0.0, -138.503, 5.217, 10.511, 20.031, 7.494, 4.526, -170.319, -112.97, -54.492, 0.0, 0.0]
1223.0623811 [1715151025.0169, 23.0, 0.0, -152.197, 10.334, 4.353, 18.474, 10.048, -3.163, -202.424, -133.35, -86.713, 0.0, 0.0]
1223.0701936 [1715151025.0248, 24.0, 0.0, -184.32, -2.996, -11.021, -4.598, 1.841, -0.598, -234.497, -156.27, -118.901, 0.0, 0.0]
1223.0780061 [1715151025.0326, 25.0, 0.0, -197.968, -20.411, -16.645, -20.988, -7.382, 1.964, -232.725, -154.065, -112.123, 0.0, 0.0]
1223.0858186 [1715151025.0404, 26.0, 0.0, -164.982, -6.559, -0.747, -7.134, -4.813, -2.649, -199.705, -137.004, -79.223, 0.0, 0.0]
1223.0936311 [1715151025.0482, 27.0, 0.0, -132.029, 16.502, 18.721, 12.341, 5.438, 1.452, -166.717, -118.937, -54.553, 0.0, 0.0]
1223.1014436 [1715151025.0559, 28.0, 0.0, -147.779, 8.288, 11.53, 3.107, 11.58, 7.086, -193.703, -119.33, -65.769, 0.0, 0.0]
1223.1092561 [1715151025.0637, 29.0, 0.0, -179.907, -13.237, -9.486, -16.364, 10.031, -0.093, -225.785, -142.777, -97.979, 0.0, 0.0]
1223.1170686 [1715151025.0714, 30.0, 0.0, -188.948, -14.761, -13.575, -13.786, 2.849, -3.679, -252.199, -154.417, -110.688, 0.0, 0.0]
1223.1248811 [1715151025.0792, 31.0, 0.0, -173.902, -1.426, -3.827, -5.575, -5.863, -1.114, -229.917, -145.554, -93.671, 0.0, 0.0]
1223.1326936 [1715151025.0869, 32.0, 0.0, -165.532, 13.433, 5.91, -5.57, -4.32, -6.748, -215.343, -142.846, -84.356, 0.0, 0.0]
1223.1405061 [1715151025.0948, 33.0, 0.0, -166.903, 17.518, 10.515, 3.145, 9.516, -6.741, -211.029, -142.704, -86.321, 0.0, 0.0]
1223.1483186 [1715151025.1025, 34.0, 0.0, -169.81, 2.643, 2.82, 12.363, 22.315, 3.511, -189.813, -133.852, -81.112, 0.0, 0.0]
