0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0.434,4.307,3.759,-0.918,0.53,0.684,-0.112,-0.688,2.692,1.127,-0.161,-2.649,1.783,3.162,1.247,-2.411,1.974,1.64,1.503,-0.377,0.703,1.768
-0.592,0.204,-0.856,0.62,-1.52,1.708,-0.112,-1.711,-1.409,1.639,-0.161,-0.084,-2.318,3.159,-0.291,-2.409,1.46,-3.485,1.501,-2.426,-2.371,3.815
-0.591,-3.382,-2.904,-2.455,-1.006,-0.855,1.425,-0.173,-2.944,-1.949,-1.185,2.989,-1.803,-1.455,2.271,2.204,-0.591,-2.457,-0.037,-0.887,-2.369,-1.312
-0.078,-2.354,0.685,-5.014,0.02,-1.879,-0.113,2.389,0.645,0.614,0.865,2.986,-0.777,-1.454,2.781,3.227,-0.078,-0.405,3.037,2.188,1.732,-4.384
-1.615,1.235,-0.341,-1.423,0.02,3.246,-2.162,-1.712,1.669,2.151,0.864,0.934,-1.288,0.597,-0.808,-1.387,0.435,-2.454,0.984,1.161,1.218,-0.281
-1.613,3.795,-1.877,-1.421,0.532,1.706,-0.623,-2.223,-1.407,-0.413,-1.698,-1.628,1.275,0.084,1.755,-2.41,0.434,-2.452,-2.603,-0.889,0.192,0.744
-0.075,1.742,-1.363,-2.445,1.044,-1.882,0.915,1.366,0.131,0.612,-0.159,-0.602,1.273,1.621,2.777,0.666,-0.078,-0.4,1.498,0.137,2.241,-2.843
-0.587,-1.846,-1.874,1.144,0.531,2.218,0.401,-2.222,3.205,1.124,1.89,2.472,-0.777,2.132,-1.836,1.177,-0.078,0.113,3.034,0.649,2.239,-4.377
0.951,-1.332,0.177,0.118,-1.519,2.216,1.938,-4.781,1.665,-0.927,1.376,0.933,0.761,-0.432,0.215,-1.385,1.459,1.137,-1.068,-1.914,1.212,-2.836
-0.075,3.28,1.202,-3.98,-2.542,-2.909,2.448,-0.678,-0.898,2.148,1.887,-1.117,1.272,0.593,3.289,0.665,1.969,-0.401,2.007,-1.912,1.211,-3.345
-4.686,2.252,-1.873,-0.39,-0.491,0.167,-1.14,0.348,0.127,2.658,1.885,-1.116,-0.266,2.129,-0.813,4.251,-1.106,-2.962,3.03,0.14,0.185,-1.293
-0.583,-4.922,-2.384,1.147,-0.49,2.729,-0.627,-1.19,2.176,-0.931,0.346,-0.603,0.759,0.078,-1.325,1.173,-1.105,0.627,-2.609,0.652,-0.84,1.27
5.053,-5.942,-1.357,-4.489,-2.026,1.189,2.96,-1.701,2.174,2.657,1.883,0.935,1.783,1.615,3.287,-2.415,1.457,3.7,-1.582,-0.886,-1.351,-0.781
0.95,1.236,-3.405,-4.997,0.537,0.163,-0.117,-1.699,0.635,4.703,2.905,2.471,-0.268,2.125,2.26,0.662,-1.618,-0.402,4.568,0.652,-1.35,-3.854
-1.1,3.284,-2.377,-0.894,1.561,-1.374,-0.629,0.352,-1.415,-1.962,2.39,0.932,-0.78,-1.975,-0.817,1.686,-2.641,-0.401,3.026,2.188,0.188,-1.801
2.487,1.232,0.7,-0.893,-1.514,-2.909,3.982,0.351,-1.926,-2.472,1.875,1.443,-0.267,-0.436,-2.353,-2.927,1.46,3.185,0.974,0.649,-2.373,-0.262
0.435,-0.819,-2.375,-1.404,-1.513,1.192,2.954,-1.698,-1.411,2.654,0.337,2.466,0.245,3.15,-3.375,-2.412,-0.078,1.645,2.51,-0.888,-5.445,-2.311
-1.102,-1.842,-4.934,-0.891,0.026,3.24,-1.148,-0.16,0.127,0.089,0.849,-1.635,1.782,0.586,-0.81,0.152,-4.177,-0.918,1.483,1.162,-1.853,-1.796
2.997,0.209,-1.855,-2.427,1.05,1.7,0.903,1.89,1.664,-2.985,3.409,-1.121,1.78,0.073,-0.297,-0.872,-1.099,1.132,-0.056,1.161,2.759,1.279
1.97,3.795,1.733,-2.937,2.074,0.161,0.902,-0.161,0.637,-0.932,0.332,1.442,-0.271,1.61,-2.346,0.153,1.976,0.619,0.969,-0.378,-0.317,-1.796
-0.081,1.742,-0.831,-2.421,0.023,-0.863,-2.173,-2.21,-1.925,-0.931,-2.23,-0.097,-0.271,0.071,1.243,1.178,-2.636,0.106,1.48,1.672,-0.317,-4.868
-0.081,-0.822,-4.928,-3.956,-2.027,1.187,-1.146,-2.208,-0.386,-1.955,1.871,0.928,-0.27,-1.466,3.291,-1.385,-4.171,2.667,0.454,2.183,3.782,-0.764
-2.13,0.716,-1.849,-1.39,2.074,3.747,0.904,0.356,3.201,2.145,-0.18,4.001,0.242,0.585,-2.348,-0.359,0.957,2.152,0.966,-0.893,2.241,2.31
-2.641,1.228,2.251,4.246,2.584,1.694,1.928,2.404,3.197,3.168,-4.279,1.436,1.779,0.584,-2.346,0.666,1.468,0.101,1.478,0.132,1.214,-0.766
-0.589,0.714,-0.313,2.193,-0.492,-0.869,0.389,-0.672,1.657,-2.983,-0.176,0.409,-0.272,-1.978,2.78,-4.97,-3.144,1.125,0.451,0.132,3.775,-1.277
-2.125,1.226,-1.85,-2.42,1.045,-1.893,-0.636,-4.257,0.631,-6.054,2.386,2.458,-1.809,-1.464,-0.809,-4.965,-1.604,1.124,-3.648,-2.43,-0.84,1.285
-3.148,-0.312,0.202,-0.368,2.581,-2.916,0.902,-1.691,-1.419,-2.462,1.871,2.456,0.242,2.124,-1.833,0.675,3.52,-1.438,-2.619,1.159,-3.401,0.259
-3.144,-0.824,-2.36,0.144,1.041,1.186,-0.124,-0.665,-0.393,0.102,3.919,2.966,1.267,2.634,2.267,-0.35,1.468,0.612,2.506,4.232,1.726,0.771
-3.654,0.201,-1.846,-1.393,2.065,4.258,-1.661,-1.689,0.12,-1.435,0.841,0.401,0.753,-3.004,0.728,-0.862,-3.145,0.612,0.967,1.154,0.699,2.82
-1.088,-1.336,4.816,0.146,2.575,-0.869,-0.634,-1.687,-0.392,-2.458,-1.722,-2.673,1.777,-3.513,-0.81,1.7,-0.58,-1.951,-2.108,3.714,-2.887,-0.257
-0.063,-2.872,4.811,-1.904,0.011,-1.38,-0.122,-1.173,0.633,1.643,2.379,2.453,0.751,1.613,2.265,-0.351,3.519,0.101,0.968,5.247,2.239,-3.33
-3.136,-1.332,-0.829,-3.439,1.036,3.744,-0.634,-1.172,0.12,2.666,0.327,5.012,-1.299,0.587,0.214,-0.863,3.003,2.15,3.529,-0.906,4.798,-0.765
-1.084,0.206,-1.34,0.663,3.596,3.228,1.928,0.366,-2.442,-2.972,-3.259,-0.629,-0.273,0.074,-2.348,2.724,0.439,0.098,3.013,-2.442,-0.33,0.772
0.454,1.743,1.223,0.662,0.519,-0.361,2.439,-0.147,1.147,-2.969,-0.695,-0.116,1.776,3.148,0.728,0.16,1.463,0.611,1.985,1.147,-0.33,-2.302
-1.083,1.229,0.197,-2.924,-2.556,-1.898,1.412,-0.659,5.756,1.645,0.331,3.471,2.799,-0.441,1.24,-3.426,3.511,1.635,-1.603,1.146,1.208,-3.837
1.991,-0.821,-2.365,0.152,-1.016,-2.408,0.898,-1.171,2.677,-1.431,-0.694,1.93,2.796,-4.539,2.775,-0.349,1.97,-0.416,-3.138,1.144,-1.355,-0.247
